
Test, il_losowan, zbior, wynik
generator Ko-Sm, 40, 1000, 1.0
generator Sh-Wi, 40, 1000, 0.925
generator Ko-Sm, 100, 1000, 1.0
generator Sh-Wi, 100, 1000, 0.96
generator Ko-Sm, 10, 2000, 1.0
generator Sh-Wi, 10, 2000, 0.7
generator Ko-Sm, 100, 2000, 1.0
generator Sh-Wi, 100, 2000, 0.8
generator Ko-Sm, 10, 3000, 1.0
generator Sh-Wi, 10, 3000, 0.6
generator Ko-Sm, 100, 3000, 1.0
generator Sh-Wi, 100, 3000, 0.51
generator Ko-Sm, 10, 4000, 1.0
generator Sh-Wi, 10, 4000, 0.3
generator Ko-Sm, 10, 100000, 0.9
generator Sh-Wi, 10, 100000, 0.0
losowe Ko-Sm, 40, 1000, 1.0
losowe Sh-Wi, 40, 1000, 0.925
losowe Ko-Sm, 100, 1000, 1.0
losowe Sh-Wi, 100, 1000, 0.96
losowe Ko-Sm, 10, 2000, 1.0
losowe Sh-Wi, 10, 2000, 0.9
losowe Ko-Sm, 100, 2000, 1.0
losowe Sh-Wi, 100, 2000, 0.96
losowe Ko-Sm, 10, 3000, 1.0
losowe Sh-Wi, 10, 3000, 1.0
losowe Ko-Sm, 100, 3000, 1.0
losowe Sh-Wi, 100, 3000, 0.94
losowe Ko-Sm, 10, 4000, 1.0
losowe Sh-Wi, 10, 4000, 1.0
losowe Ko-Sm, 10, 100000, 1.0
losowe Sh-Wi, 10, 100000, 1.0
generator Ko-Sm, 10, 4000, 1.0
generator Sh-Wi, 10, 4000, 0.3
generator Ko-Sm, 10, 3000, 1.0
generator Sh-Wi, 10, 3000, 0.5
generator Ko-Sm, 10, 2000, 1.0
generator Sh-Wi, 10, 2000, 0.9
generator Ko-Sm, 10, 1000, 1.0
generator Sh-Wi, 10, 1000, 1.0
losowe Ko-Sm, 10, 1000, 1.0
losowe Sh-Wi, 10, 1000, 0.9
losowe Ko-Sm, 10, 2000, 1.0
losowe Sh-Wi, 10, 2000, 1.0
losowe Ko-Sm, 10, 3000, 1.0
losowe Sh-Wi, 10, 3000, 0.8
losowe Ko-Sm, 10, 4000, 1.0
losowe Sh-Wi, 10, 4000, 1.0

