Test, il_losowan, zbior, wynik
losowe Ko-Sm,10,1000,1.0
losowe Sh-Wi,10,1000,0.9
losowe Ko-Sm,10,2000,1.0
losowe Sh-Wi,10,2000,1.0
losowe Ko-Sm,10,3000,1.0
losowe Sh-Wi,10,3000,1.0
losowe Ko-Sm,10,4000,1.0
losowe Sh-Wi,10,4000,0.9
losowe Ko-Sm,100,1000,0.97
losowe Sh-Wi,100,1000,0.9
losowe Ko-Sm,100,2000,0.98
losowe Sh-Wi,100,2000,0.95
losowe Ko-Sm,100,3000,0.93
losowe Sh-Wi,100,3000,0.99
losowe Ko-Sm,100,4000,0.93
losowe Sh-Wi,100,4000,0.93
losowe Ko-Sm,1000,1000,0.941
losowe Sh-Wi,1000,1000,0.959
losowe Ko-Sm,1000,2000,0.953
losowe Sh-Wi,1000,2000,0.961
losowe Ko-Sm,1000,3000,0.949
losowe Sh-Wi,1000,3000,0.943
losowe Ko-Sm,1000,4000,0.951
losowe Sh-Wi,1000,4000,0.952
generator Ko-Sm,10,1000,0.9
generator Sh-Wi,10,1000,1.0
generator Ko-Sm,10,2000,1.0
generator Sh-Wi,10,2000,0.8
generator Ko-Sm,10,3000,1.0
generator Sh-Wi,10,3000,0.7
generator Ko-Sm,10,4000,1.0
generator Sh-Wi,10,4000,0.2
generator Ko-Sm,100,1000,0.95
generator Sh-Wi,100,1000,0.86
generator Ko-Sm,100,2000,0.97
generator Sh-Wi,100,2000,0.82
generator Ko-Sm,100,3000,0.95
generator Sh-Wi,100,3000,0.57
generator Ko-Sm,100,4000,0.96
generator Sh-Wi,100,4000,0.27
generator Ko-Sm,10,10,0.9
generator Sh-Wi,10,10,1.0
generator Ko-Sm,100,4000,0.0
generator Sh-Wi,100,4000,0.0
generator Ko-Sm,10,10,1.0
generator Sh-Wi,10,10,1.0
